class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w
e,x,s,g,f,n,f,w,b,k,t,e,s,s,w
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w
e,b,s,y,t,a,f,c,b,w,e,c,s,s,w
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w
e,x,f,n,f,n,f,w,b,n,t,e,s,f,w
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w
e,f,f,w,f,n,f,w,b,k,t,e,s,s,w
p,x,s,n,t,p,f,c,n,n,e,e,s,s,w
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w
p,x,y,n,t,p,f,c,n,n,e,e,s,s,w
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w
p,f,s,w,t,p,f,c,n,n,e,e,s,s,w
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w
e,x,s,y,t,a,f,w,n,n,t,b,s,s,w
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w
e,x,y,n,t,l,f,c,b,p,e,r,s,y,w
e,b,y,y,t,l,f,c,b,n,e,c,s,s,w
e,x,f,y,t,l,f,w,n,w,t,b,s,s,w
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w
e,x,f,y,t,a,f,w,n,p,t,b,s,s,w
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w
e,x,f,n,f,n,f,c,n,g,e,e,s,s,w
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w
e,x,s,y,t,a,f,c,b,w,e,c,s,s,w
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w
e,x,y,y,t,l,f,c,b,k,e,c,s,s,w
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w
e,x,s,w,t,l,f,c,b,k,e,c,s,s,w
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w
p,x,y,n,t,p,f,c,n,k,e,e,s,s,w
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w
e,b,y,y,t,a,f,c,b,w,e,c,s,s,w
e,f,f,g,f,n,f,w,b,n,t,e,s,s,w
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w
e,b,s,y,t,l,f,c,b,g,e,c,s,s,w
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w
e,f,s,n,f,n,f,w,b,k,t,e,s,s,w
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w
e,x,y,y,t,a,f,c,b,w,e,c,s,s,w
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w
e,f,f,y,t,l,f,w,n,w,t,b,s,s,w
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w
e,f,s,y,t,l,f,w,n,p,t,b,s,s,w
e,x,s,w,t,l,f,w,n,n,t,b,s,s,w
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w
e,x,s,n,f,n,f,w,b,k,t,e,f,s,w
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w
e,f,f,g,f,n,f,c,n,n,e,e,s,s,w
e,x,f,g,f,n,f,w,b,n,t,e,s,s,w
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w
e,x,s,n,f,n,f,w,b,k,t,e,s,s,w
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w
e,s,f,n,f,n,f,c,n,n,e,e,s,s,w
e,x,f,n,f,n,f,c,n,n,e,e,s,s,w
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w
e,x,y,y,t,a,f,c,b,g,e,c,s,s,w
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w
e,x,s,n,f,n,f,w,b,n,t,e,s,s,w
e,x,s,w,t,a,f,c,b,g,e,c,s,s,w
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w
e,x,f,n,f,n,f,w,b,p,t,e,f,s,w
e,b,s,y,t,l,f,c,b,n,e,c,s,s,w
e,f,y,y,t,l,f,c,b,w,e,r,s,y,w
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w
e,b,y,w,t,l,f,c,b,g,e,c,s,s,w
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w
e,x,y,y,t,a,f,c,b,w,e,r,s,y,w
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w
e,s,f,g,f,n,f,c,n,g,e,e,s,s,w
e,x,f,w,t,a,f,w,n,w,t,b,s,s,w
e,x,s,y,t,a,f,c,b,n,e,c,s,s,w
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w
e,x,y,y,t,l,f,c,b,p,e,r,s,y,w
e,s,f,g,f,n,f,c,n,p,e,e,s,s,w
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w
e,x,s,y,t,l,f,w,n,p,t,b,s,s,w
e,s,f,n,f,n,f,c,n,k,e,e,s,s,w
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w
p,f,y,n,t,p,f,c,n,p,e,e,s,s,w
e,f,s,g,f,n,f,w,b,k,t,e,s,s,w
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w
e,x,s,w,f,n,f,w,b,n,t,e,s,f,w
e,b,s,y,t,a,f,c,b,w,e,c,s,s,w
e,f,f,g,f,n,f,w,b,h,t,e,s,s,w
