class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring
e,f,f,e,t,n,f,c,b,n,t,b,s,s,w
e,f,y,e,t,n,f,c,b,w,t,b,s,s,p
p,f,y,g,f,f,f,c,b,h,e,b,k,k,b
p,x,f,g,f,f,f,c,b,h,e,b,k,k,n
e,f,y,e,t,n,f,c,b,p,t,b,s,s,g
p,x,f,p,f,c,f,w,n,g,e,b,s,s,w
p,x,s,g,f,c,f,c,n,u,e,b,s,s,w
e,f,y,e,t,n,f,c,b,w,t,b,s,s,w
e,f,f,e,t,n,f,c,b,p,t,b,s,s,g
e,f,y,e,t,n,f,c,b,w,t,b,s,s,p
e,f,y,n,t,n,f,c,b,w,t,b,s,s,w
p,x,s,p,f,c,f,w,n,g,e,b,s,s,w
p,x,f,g,f,f,f,c,b,p,e,b,k,k,n
e,f,f,e,t,n,f,c,b,w,t,b,s,s,w
e,f,y,e,t,n,f,c,b,u,t,b,s,s,w
e,f,f,g,t,n,f,c,b,u,t,b,s,s,w
e,f,f,e,t,n,f,c,b,u,t,b,s,s,w
e,f,y,n,t,n,f,c,b,n,t,b,s,s,g
e,f,y,e,t,n,f,c,b,w,t,b,s,s,g
p,f,f,y,f,f,f,c,b,g,e,b,k,k,b
e,x,f,g,t,n,f,c,b,p,t,b,s,s,w
p,x,s,p,f,c,f,w,n,p,e,b,s,s,w
e,x,y,e,t,n,f,c,b,w,t,b,s,s,w
e,f,f,g,t,n,f,c,b,u,t,b,s,s,g
e,f,f,e,t,n,f,c,b,u,t,b,s,s,g
e,x,f,e,t,n,f,c,b,u,t,b,s,s,p
e,f,y,g,t,n,f,c,b,p,t,b,s,s,w
e,f,f,e,t,n,f,c,b,n,t,b,s,s,g
p,x,s,w,f,c,f,w,n,n,e,b,s,s,w
p,x,y,g,f,f,f,c,b,g,e,b,k,k,p
p,x,f,p,f,c,f,c,n,n,e,b,s,s,w
e,f,y,g,t,n,f,c,b,w,t,b,s,s,w
e,x,y,n,t,n,f,c,b,w,t,b,s,s,g
p,x,f,g,f,c,f,c,n,n,e,b,s,s,w
e,f,y,n,t,n,f,c,b,w,t,b,s,s,p
p,x,f,p,f,c,f,c,n,g,e,b,s,s,w
e,f,f,e,t,n,f,c,b,n,t,b,s,s,p
p,x,s,w,f,c,f,w,n,n,e,b,s,s,w
e,x,y,n,t,n,f,c,b,n,t,b,s,s,g
p,x,f,g,f,f,f,c,b,g,e,b,k,k,p
p,x,s,g,f,c,f,c,n,n,e,b,s,s,w
e,f,y,n,t,n,f,c,b,n,t,b,s,s,g
p,x,f,g,f,f,f,c,b,g,e,b,k,k,p
p,x,s,p,f,c,f,c,n,p,e,b,s,s,w
